Year,Pos,Name,Club,Cat,Time
2004,150,T Norwood,Corstorphine AAC,M,4:10:53
2004,151,J Grundy,Northumberland FR,F40,4:11:23
2004,152,R Mills,Cosmics,M,4:12:13
2004,153,D Macdonald,Hunters Bog Trotters,F40,4:12:41
2004,154,J Ely,Cumberland FR,M60,4:12:54
2004,155,I Charters,Horwich Harriers,M50,4:13:14
2004,156,A Brockington,Dark Peak,F,4:13:42
2004,157,E Scott,Westerlands,F40,4:14:21
2004,158,I Mcmanus,Irvine Athletic,M60,4:15:04
2004,159,S Presly,Wolds Veteran RC,M50,4:15:06
2004,160,R Stenhouse,Fife AC,F,4:15:44
2004,161,L Kirkwood,Unattached,F40,4:15:44
2004,162,R Powell,Eryri,M40,4:15:53
2004,163,A Talbot,Westerlands,F,4:17:12
2004,164,R Grimshaw,Unattached,M60,4:17:47
2004,165,I Davidson,Girvan AAC,M40,4:17:58
2004,166,E Courtney,Carnethy,F40,4:18:15
2004,167,G Stewart,Mercia,M,4:21:30
2004,168,N Campbell,Carnethy,M40,4:24:07
2004,169,S Allen,Barnet & District AC,M40,4:24:32
2004,170,A Heaton,Bowland Fell Runners,M40,4:28:38
2004,171,C Mills,Calderglen Harriers,F40,4:28:58
2004,172,S Garner,Calderglen Harriers,M50,4:28:59
2004,173,A West,Carn,F50,4:29:13
2004,174,L Buck,Cumberland FR,F40,4:29:34
2004,175,V Brunton,Westerlands,F,4:31:32
2004,176,C Bedson,Glossopdale,M,4:37:06
2004,177,B Howie,Carnethy,M50,4:37:39
2004,178,K Kitchin,Lothian,F,4:38:47
2004,179,C Crane,Lothian,M40,4:38:57
2004,180,A Alexander,H.e.l.p.,M50,4:38:59
2004,181,A Wright,Unattached,F40,4:39:34
2004,182,R Dalitz,Carnethy,M50,4:40:10
2004,183,R Irvine,Unattached,M,4:41:21
2004,184,P Carter,Preston,M,4:41:42
2004,185,S Hunter,Unattached,M,4:42:59
2004,186,L Horton,Westerlands,F,4:44:03
2004,187,R Beadley,Saddleworth,M50,4:45:02
2004,188,L Provan,Fife AC,F,4:47:30
2004,189,B Dearnaley,Preston,M60,4:47:34
2004,190,A Menarry,Carnethy,M60,4:48:04
2004,191,D Turnbull,Westerlands,M60,4:50:33
2004,192,J Howard,Preston,M60,4:52:20
2004,193,L Knox,Teviotdale Harriers,F40,4:52:58
2004,194,R Phillips,Perth Road Runners,M,4:55:22
2004,195,J Drummond,Central AC,M50,4:55:59
2004,196,S Low,Carnethy,M,4:58:22
2004,197,D Wall,Hunters Bog Trotters,M40,4:58:22
2004,198,G Heron,Unattached,M40,5:05:43
2004,199,I Turner,Moffat Mountain Resc,M50,5:05:45
2004,200,I Marshall,Hunters Bog Trotters,M50,5:15:36
