Year,Pos,Name,Club,Cat,Time
1993,65,P Foy,Hunters Bog Trotters,M,3:25:33
1993,66,R Sharp,Claremont RR,M,3:26:21
1993,67,I Mcintyre,Livingston & District,M,3:26:52
1993,68,J Stout,Cumberland FR,M,3:27:42
1993,69,W Hynd,Unattached,M,3:29:19
1993,70,E Scott,Westerlands,F,3:29:36
1993,71,J Salvona,Livingston & District,F40,3:29:43
1993,72,A Addis,Macclesfield,M,3:30:53
1993,73,R Turnbull,Solway,M40,3:31:02
1993,74,M Coleman,Livingston & District,F,3:32:37
1993,75,R Mcgill,Dundee Road Runners,M40,3:33:05
1993,76,P Buchan,Fife AC,M,3:34:47
1993,77,R Greenaway,Ochil HR,M40,3:36:17
1993,78,M Mitchell,Fife AC,M,3:36:30
1993,79,P Morris,Carnethy,M,3:37:15
1993,80,J Dallinson,Claremont RR,M40,3:37:15
1993,81,D Hanlon,Dundee Road Runners,M,3:37:26
1993,82,B Begley,Edinburgh AC,M40,3:37:43
1993,83,B Hughes,Cumberland FR,M40,3:37:59
1993,84,G Mcintyre,Livingston & District,M,3:39:32
1993,85,E Harvey,Carnethy,M,3:40:40
1993,86,A Paterson,Calderglen Harriers,M40,3:41:17
1993,87,R Stevenson,Manx F,M40,3:41:30
1993,88,L Hope,Lochaber AC,F,3:42:20
1993,89,M Gorman,Westerlands,M,3:42:20
1993,90,I Mills,Fife AC,M,3:42:58
1993,91,J Stephen,Ochil HR,M40,3:42:59
1993,92,B O'rourke,Mandal,M40,3:43:03
1993,93,J Mcwhinnie,Carnethy,M,3:43:08
1993,94,M Maclachlan,Carnethy,M40,3:43:25
1993,95,G Greig,Fife AC,M40,3:43:36
1993,96,J Page,Holmfirth HAC,M40,3:44:06
1993,97,N Dyson,Mandal,M40,3:44:13
1993,98,I Firth,Highland HR,M,3:44:43
1993,99,R Bloor,Westerlands,M,3:45:05
1993,100,W Gibson,Esoc,M,3:45:15
1993,101,A Johnson,Fleet Feet Triathletes,M,3:45:28
1993,102,D Adams,Hamilton Harriers,M40,3:45:30
1993,103,G Duncan,Carn,M,3:45:31
1993,104,P Paterson,Edinburgh AC,M,3:47:07
1993,105,C Fox,Fife AC,M40,3:48:25
1993,106,N Melville,Livingston & District,M,3:49:00
1993,107,K Charles,Carnethy,F,3:50:01
1993,108,A Kassyk,Unattached,M,3:50:56
1993,109,I Chrystal,Lochaber AC,M,3:51:25
1993,110,N Rose,Carnethy,M,3:52:32
1993,111,N Dunning,Unattached,M40,3:53:14
1993,112,S Hay,Highland HR,F,3:54:08
1993,113,M Moss,Nidd Valley,M40,3:54:31
1993,114,D Bawden,Manx F,M,3:54:32
1993,115,G Irvine,Highland HR,F,3:54:55
1993,116,B Hunter,Lothian,M,3:55:21
1993,117,I Hay,Highland HR,M40,3:56:04
1993,118,B Bailie,Unattached,M40,3:56:34
1993,119,P Leslie,Ochil HR,M,3:57:00
1993,120,A Parry,Mandal,M,3:57:18
1993,121,G Jones,Gallows,M40,3:57:38
1993,122,C Christison,Dundee Road Runners,M,3:57:50
1993,123,T Collins,Carnethy,M,3:58:00
1993,124,D Ashmole,Unattached,M,3:58:40
1993,125,D Owen,Ambleside AC,M,3:59:22
1993,126,C Downie,Lothian,M,3:59:48
1993,127,W Howarth,Denby Dale Travellers,M40,4:00:23
1993,128,M Kassyk,Livingston & District,M,4:01:45
1993,129,P Shaw,Hunters Bog Trotters,M,4:02:12
1993,130,N Mcdonald,Carnethy,M,4:04:05
1993,131,A Strachan,Dundee Road Runners,F40,4:05:07
1993,132,F Cation,Fife AC,M40,4:07:01
1993,133,J Barton,Carnethy,M40,4:07:03
1993,134,P Smith,Unattached,M,4:07:55
1993,135,I Ellison,Stewartry,M,4:08:36
1993,136,E Brown,Carnethy,M40,4:08:37
1993,137,R Moore,Unattached,M40,4:08:57
1993,138,I Jackson,Carnethy,M,4:11:01
1993,139,B Haworth,Holmfirth HAC,M,4:11:10
1993,140,J Paxton,Unattached,M40,4:11:38
1993,141,M Paxton,Perth Road Runners,M,4:11:38
1993,142,H Searle,Lochaber AC,F,4:12:43
1993,143,G Howard,Ilkley Harriers,M40,4:13:32
1993,144,J Howard,Airecentre Pacers,F40,4:13:33
1993,145,S Chapman,Bruce Triathlon Club,M,4:14:25
1993,146,F Martin,Perth Road Runners,F40,4:14:41
1993,147,A Wadsworth,Hunters Bog Trotters,M,4:15:54
1993,148,A Mcfadyen,Unattached,M,4:16:58
1993,149,B Soutter,Unattached,M,4:16:59
1993,150,B Kemp,Kinross RR,M40,4:17:07
1993,151,D Davis,Edinburgh TRI Club,M,4:17:42
1993,152,P Henry,Unattached,M40,4:18:57
1993,153,R Wall,Hunters Bog Trotters,M,4:19:43
1993,154,I Laird,Carn,M,4:20:07
1993,155,S Temple,Manx F,M,4:21:31
1993,156,D Turnbull,East Kilbride AAC,M,4:23:06
1993,157,J Cummins,Fife AC,M,4:24:20
1993,158,D Scott,H.e.l.p.,M,4:27:26
1993,159,B Cockburn,H.e.l.p.,M40,4:34:37
1993,160,D Mitchell,Kinross RR,M,4:34:37
1993,161,J Wilson,Unattached,M,4:37:40
1993,162,D Robson,Unattached,M40,4:44:58
1993,163,M Corrie,EAS,M,4:45:13
1993,164,P Mcadam,Westerlands,F40,4:45:33
1993,165,I Waddell,SPA Striders,M,4:47:33
1993,166,J Drummond,Central AC,M40,4:52:54
1993,167,G Benny,Westerlands,M40,4:54:56
1993,168,G Dick,Scottish Vets,M40,5:18:47
1993,169,P Hirst,Unattached,M40,5:24:42
1993,170,P Baxter,Westerlands,M,5:24:43
